BHID,X,Y,Z,DENSITY,PGE,CU,NI,PT,PD,RH,AU
WV124D0,64537.97,-182515.44,940.59,4.1604,9.6785,0.0132,0.1229,3.9519,4.9729,0.559,0.1946
WV124D1,64537.87,-182515.55,940.65,4.3021,6.9002,0.0072,0.1192,3.8498,2.3939,0.6306,0.0259
WV124D2,64537.76,-182515.66,940.67,4.115,8.4249,0.0286,0.1578,4.1353,3.5229,0.5775,0.1891
WV93ID0,64758.17,-182303.84,1014.9,4.1652,7.5486,0.0112,0.1225,4.3245,2.4174,0.6668,0.14
WV94ID0,64647.28,-182189.06,1010.84,4.3862,5.7957,0.0056,0.1169,3.7544,1.4438,0.5633,0.0341
WA100D0,62103.27,-181471.17,872.24,4.4314,5.87,0.0168,0.144,3.4223,1.9164,0.4512,0.08
WA100D1,62103.19,-181471.17,872.06,4.3363,5.8471,0.0186,0.1471,3.2107,2.0795,0.4681,0.0888
WA100D2,62103.14,-181471.19,871.9,4.4629,6.4224,0.0223,0.1478,3.5134,2.3021,0.5166,0.0903
WA101D0,62070.37,-182481.64,763.22,3.6971,2.2223,0.0061,0.086,1.5161,0.4548,0.2147,0.0366
WA101D1,62070.27,-182481.64,763.28,3.6378,2.3031,0.0155,0.1046,1.3854,0.6479,0.2131,0.0566
WA101D2,62070.14,-182481.63,763.24,3.4865,1.9901,0.0116,0.0942,1.1717,0.58,0.1935,0.0449
WA102D0,63378.97,-183783.73,721.01,3.7822,4.9345,0.0215,0.1415,2.2302,2.1955,0.3906,0.1183
WA102D1,63379.11,-183783.83,720.95,3.8495,5.3185,0.0178,0.1532,2.2765,2.5379,0.406,0.0981
WA102D2,63379.16,-183783.91,720.9,3.8256,6.8337,0.0219,0.1536,2.6382,3.6106,0.453,0.1319
WA103D0,61474.27,-180889.89,968.45,3.5789,1.4885,0.0072,0.0942,1.0463,0.2528,0.1632,0.0262
WA105D0,63112.16,-181769.83,923.24,4.1336,8.0384,0.0486,0.2044,3.9972,3.0826,0.8125,0.1461
WA105D1,63112.05,-181769.83,923.65,4.0859,7.9393,0.0422,0.1881,4.0287,3.0857,0.6857,0.1391
WA105D2,63111.95,-181769.86,922.9,4.0181,8.8842,0.0347,0.1727,4.3206,3.6583,0.7584,0.1468
WA105D3,63111.8,-181769.86,922.53,3.946,6.6186,0.0266,0.1597,3.6498,2.2524,0.6178,0.0986
WA106D0,63267.34,-181935.42,901,3.9123,5.3731,0.0283,0.1304,2.8338,2.0271,0.4061,0.106
WA106D2,63267.14,-181935.3,900.9,3.8609,5.4193,0.0349,0.137,2.6573,2.2338,0.4272,0.101
